X,Y,Z,MgCa,Err
15955.000000,-14879.000000,10500.000000,0.479718,0.024835
15933.000000,-14776.000000,10496.000000,0.474520,0.016900
15911.000000,-14672.000000,10493.000000,0.502816,0.012821
15889.000000,-14569.000000,10490.000000,0.503960,0.036364
15867.000000,-14466.000000,10486.000000,0.505604,0.030441
15845.000000,-14362.000000,10483.000000,0.553878,0.030174
15823.000000,-14259.000000,10480.000000,0.617070,0.028038
15800.000000,-14156.000000,10476.000000,0.578038,0.012446
15778.000000,-14053.000000,10473.000000,0.602229,0.053238
15756.000000,-13949.000000,10470.000000,0.579593,0.018646
15734.000000,-13846.000000,10466.000000,0.593942,0.046011
15712.000000,-13743.000000,10463.000000,0.613433,0.039103
15690.000000,-13639.000000,10460.000000,0.626021,0.065126
15668.000000,-13536.000000,10456.000000,0.563882,0.058865
15624.000000,-13438.000000,10451.000000,0.588813,0.016936
15579.000000,-13339.000000,10447.000000,0.590410,0.024589
15534.000000,-13240.000000,10442.000000,0.590632,0.052808
15490.000000,-13142.000000,10437.000000,0.588908,0.041857
15446.000000,-13044.000000,10432.000000,0.601150,0.022309
15401.000000,-12945.000000,10427.000000,0.588808,0.027653
15356.000000,-12846.000000,10423.000000,0.584687,0.014307
15312.000000,-12748.000000,10418.000000,0.599931,0.024233
15256.000000,-12665.000000,10413.000000,0.582243,0.022563
15199.000000,-12582.000000,10407.000000,0.595376,0.037042
15142.000000,-12498.000000,10402.000000,0.595712,0.030924
15086.000000,-12415.000000,10397.000000,0.648310,0.049473
15029.000000,-12332.000000,10391.000000,0.548966,0.039804
14973.000000,-12249.000000,10386.000000,0.628927,0.050284
14916.000000,-12166.000000,10380.000000,0.610422,0.046138
14860.000000,-12082.000000,10375.000000,0.611309,0.015622
14804.000000,-11999.000000,10370.000000,0.532468,0.015628
14747.000000,-11916.000000,10364.000000,0.568619,0.026088
14697.000000,-11825.000000,10359.000000,0.554086,0.014004
14647.000000,-11733.000000,10354.000000,0.565290,0.014479
14597.000000,-11642.000000,10349.000000,0.622319,0.024350
14547.000000,-11550.000000,10344.000000,0.558399,0.032019
14497.000000,-11459.000000,10339.000000,0.587121,0.018526
14448.000000,-11368.000000,10334.000000,0.574878,0.023538
14398.000000,-11276.000000,10329.000000,0.625806,0.028284
14348.000000,-11185.000000,10324.000000,0.609474,0.053757
14298.000000,-11093.000000,10319.000000,0.630367,0.037909
14248.000000,-11002.000000,10314.000000,0.704844,0.032903
14198.000000,-10912.000000,10309.000000,0.726151,0.062654
14147.000000,-10821.000000,10304.000000,0.744183,0.047112
14097.000000,-10731.000000,10299.000000,0.703245,0.052322
14047.000000,-10641.000000,10294.000000,0.567645,0.032817
13996.000000,-10550.000000,10289.000000,0.299316,0.063713
13946.000000,-10460.000000,10284.000000,0.132367,0.022803
13896.000000,-10370.000000,10279.000000,0.094544,0.038062
13846.000000,-10280.000000,10274.000000,0.088616,0.022908
13795.000000,-10189.000000,10269.000000,0.080737,0.017003
13745.000000,-10099.000000,10264.000000,0.126305,0.025979
13691.000000,-10002.000000,10258.000000,0.099022,0.016291
13638.000000,-9905.000000,10253.000000,0.283674,0.173877
13584.000000,-9808.000000,10248.000000,0.304235,0.163802
13530.000000,-9712.000000,10242.000000,0.320644,0.127345
13477.000000,-9615.000000,10237.000000,0.254060,0.205547
13423.000000,-9518.000000,10231.000000,0.128530,0.033290
13370.000000,-9418.000000,10226.000000,0.310471,0.122028
13316.000000,-9317.000000,10220.000000,0.346242,0.127188
13263.000000,-9217.000000,10215.000000,0.201755,0.069980
13210.000000,-9117.000000,10210.000000,0.173956,0.050155
13157.000000,-9017.000000,10204.000000,0.292613,0.117335
13103.000000,-8916.000000,10199.000000,0.231645,0.139920
13050.000000,-8816.000000,10193.000000,0.245636,0.061278
12990.000000,-8731.000000,10188.000000,0.227342,0.092481
12930.000000,-8646.000000,10182.000000,0.334269,0.105769
12869.000000,-8561.000000,10176.000000,0.225191,0.055399
