y,x,z,mg_ca,st_dev,dist,sample_mode
5239,33948,7390,0.382929,0.023511,NA,map
5340,33923,7392,0.435605,0.03379,NA,map
5441,33898,7393,0.592237,0.047355,NA,map
5542,33873,7395,0.611155,0.090828,NA,map
5643,33848,7396,0.764477,0.031466,NA,map
5741,33798,7399,0.999315,0.518472,NA,map
5838,33749,7402,0.59381,0.054167,NA,map
5936,33700,7405,0.920509,0.161429,NA,map
6034,33650,7408,0.641557,0.033824,NA,map
6131,33600,7412,0.752129,0.126527,NA,map
6229,33551,7415,1.060426,0.419189,NA,map
6326,33502,7418,0.755121,0.462692,NA,map
6424,33452,7421,0.937892,0.183078,NA,map
6518,33403,7424,1.614953,0.383769,NA,map
6613,33354,7427,1.386324,0.428515,NA,map
6708,33305,7430,1.364926,0.594475,NA,map
6802,33257,7433,0.789806,0.183863,NA,map
6896,33208,7436,0.57735,0.126469,NA,map
6991,33159,7439,0.90465,0.181389,NA,map
7084,33104,7443,1.205736,0.182925,NA,map
7178,33048,7446,0.701874,0.128034,NA,map
7272,32993,7450,1.070079,0.231163,NA,map
7365,32938,7453,0.822759,0.066699,NA,map
7458,32882,7457,0.581775,0.01176,NA,map
7552,32827,7460,0.573196,0.125041,NA,map
7646,32771,7464,0.760415,0.09183,NA,map
7739,32716,7467,0.665833,0.080833,NA,map
7833,32677,7470,0.621197,0.039543,NA,map
7928,32638,7472,0.6754,0.075379,NA,map
8022,32599,7474,0.550547,0.032806,NA,map
8116,32561,7477,0.652775,0.116922,NA,map
8210,32522,7479,0.588012,0.064575,NA,map
8304,32483,7482,0.490297,0.066537,NA,map
8399,32444,7484,0.59688,0.086232,NA,map
8493,32405,7487,0.603701,0.155338,NA,map
8583,32353,7490,0.409062,0.039161,NA,map
8672,32300,7493,0.31339,0.045573,NA,map
8762,32248,7496,0.317202,0.033505,NA,map
8852,32196,7500,0.434697,0.094745,NA,map
8941,32143,7503,0.330467,0.017527,NA,map
9031,32091,7506,0.469901,0.081754,NA,map
9121,32014,7511,0.571414,0.11312,NA,map
