X,Y,Z,MgCa,Err
9178.000000,6219.000000,5381.000000,0.198070,NaN
9147.000000,6258.000000,5383.000000,0.188585,NaN
9115.000000,6298.000000,5384.000000,0.189701,NaN
9084.000000,6337.000000,5386.000000,0.207948,NaN
9053.000000,6376.000000,5387.000000,0.223274,NaN
9022.000000,6415.000000,5389.000000,0.212739,NaN
8990.000000,6455.000000,5390.000000,0.230087,NaN
8959.000000,6494.000000,5392.000000,0.245948,NaN
8924.000000,6537.000000,5393.000000,0.233106,NaN
8888.000000,6579.000000,5395.000000,0.226235,NaN
8852.000000,6622.000000,5397.000000,0.223357,NaN
8817.000000,6665.000000,5398.000000,0.220799,NaN
8782.000000,6707.000000,5400.000000,0.219066,NaN
8746.000000,6750.000000,5401.000000,0.216130,NaN
8722.000000,6802.000000,5403.000000,0.219142,NaN
8697.000000,6854.000000,5406.000000,0.212284,NaN
8673.000000,6907.000000,5408.000000,0.224648,NaN
8648.000000,6959.000000,5410.000000,0.225320,NaN
8624.000000,7011.000000,5412.000000,0.210163,NaN
8596.000000,7066.000000,5414.000000,0.218292,NaN
8569.000000,7121.000000,5416.000000,0.209087,NaN
8542.000000,7176.000000,5418.000000,0.201612,NaN
8514.000000,7231.000000,5421.000000,0.205671,NaN
8496.000000,7286.000000,5423.000000,0.200007,NaN
8478.000000,7341.000000,5425.000000,0.195447,NaN
8460.000000,7396.000000,5427.000000,0.195208,NaN
8442.000000,7452.000000,5430.000000,0.195502,NaN
8424.000000,7507.000000,5432.000000,0.197003,NaN
8406.000000,7562.000000,5434.000000,0.191653,NaN
8406.000000,7619.000000,5437.000000,0.222279,NaN
8406.000000,7676.000000,5439.000000,0.222285,NaN
8406.000000,7732.000000,5441.000000,0.210606,NaN
8406.000000,7789.000000,5444.000000,0.207042,NaN
8406.000000,7846.000000,5446.000000,0.200256,NaN
8406.000000,7900.000000,5449.000000,0.193741,NaN
8406.000000,7954.000000,5451.000000,0.191116,NaN
8406.000000,8009.000000,5453.000000,0.186495,NaN
8406.000000,8063.000000,5456.000000,0.178973,NaN
8406.000000,8117.000000,5458.000000,0.180249,NaN
8406.000000,8172.000000,5460.000000,0.179913,NaN
8406.000000,8226.000000,5463.000000,0.175907,NaN
8406.000000,8280.000000,5465.000000,0.186503,NaN
8423.000000,8328.000000,5467.000000,0.173158,NaN
8439.000000,8377.000000,5469.000000,0.186336,NaN
8456.000000,8426.000000,5471.000000,0.182758,NaN
8472.000000,8474.000000,5474.000000,0.178897,NaN
8489.000000,8522.000000,5476.000000,0.172823,NaN
8506.000000,8571.000000,5478.000000,0.176549,NaN
8522.000000,8620.000000,5480.000000,0.050584,NaN
8539.000000,8668.000000,5482.000000,0.020469,NaN
8555.000000,8716.000000,5484.000000,0.017635,NaN
8572.000000,8765.000000,5487.000000,0.016467,NaN
8577.000000,8818.000000,5489.000000,0.013194,NaN
8581.000000,8871.000000,5491.000000,0.014698,NaN
8586.000000,8925.000000,5494.000000,0.013527,NaN
8590.000000,8978.000000,5496.000000,0.013066,NaN
8595.000000,9031.000000,5498.000000,0.011939,NaN
8599.000000,9084.000000,5500.000000,0.013503,NaN
8604.000000,9137.000000,5503.000000,0.012000,NaN
8608.000000,9190.000000,5505.000000,0.013017,NaN
8613.000000,9244.000000,5507.000000,0.011804,NaN
8617.000000,9297.000000,5510.000000,0.012025,NaN
8622.000000,9350.000000,5512.000000,0.010851,NaN
8632.000000,9405.000000,5514.000000,0.010908,NaN
8642.000000,9461.000000,5517.000000,0.012463,NaN
8652.000000,9516.000000,5519.000000,0.011440,NaN
8662.000000,9572.000000,5522.000000,0.011684,NaN
8672.000000,9627.000000,5524.000000,0.010797,NaN
8682.000000,9677.000000,5526.000000,0.012370,NaN
8693.000000,9726.000000,5528.000000,0.013657,NaN
8703.000000,9776.000000,5531.000000,0.012748,NaN
8714.000000,9825.000000,5533.000000,0.013247,NaN
8724.000000,9875.000000,5535.000000,0.014614,NaN
8734.000000,9925.000000,5537.000000,0.014039,NaN
8745.000000,9974.000000,5539.000000,0.014485,NaN
8755.000000,10024.000000,5542.000000,0.014640,NaN
8765.000000,10074.000000,5544.000000,0.014277,NaN
8776.000000,10123.000000,5546.000000,0.014982,NaN
8786.000000,10173.000000,5548.000000,0.013546,NaN
8797.000000,10222.000000,5550.000000,0.016523,NaN
8807.000000,10272.000000,5553.000000,0.015995,NaN
8817.000000,10322.000000,5555.000000,0.014885,NaN
8828.000000,10371.000000,5557.000000,0.014036,NaN
8838.000000,10421.000000,5559.000000,0.014641,NaN
8849.000000,10470.000000,5561.000000,0.015482,NaN
8859.000000,10520.000000,5563.000000,0.014007,NaN
8869.000000,10570.000000,5566.000000,0.014460,NaN
8880.000000,10619.000000,5568.000000,0.015593,NaN
8890.000000,10669.000000,5570.000000,0.015302,NaN
8900.000000,10719.000000,5572.000000,0.016269,NaN
8911.000000,10768.000000,5574.000000,0.016187,NaN
8921.000000,10818.000000,5577.000000,0.017584,NaN
8932.000000,10867.000000,5579.000000,0.017792,NaN
8942.000000,10917.000000,5581.000000,0.019340,NaN
8950.000000,10967.000000,5583.000000,0.020435,NaN
8957.000000,11017.000000,5585.000000,0.019004,NaN
8965.000000,11067.000000,5588.000000,0.019941,NaN
8973.000000,11118.000000,5590.000000,0.023520,NaN
8980.000000,11168.000000,5592.000000,0.022170,NaN
8988.000000,11218.000000,5594.000000,0.022648,NaN
8996.000000,11268.000000,5596.000000,0.023718,NaN
9004.000000,11318.000000,5599.000000,0.023184,NaN
9011.000000,11368.000000,5601.000000,0.023486,NaN
9019.000000,11419.000000,5603.000000,0.023705,NaN
9027.000000,11469.000000,5605.000000,0.022266,NaN
9034.000000,11519.000000,5607.000000,0.022415,NaN
9042.000000,11569.000000,5610.000000,0.021189,NaN
9059.000000,11619.000000,5612.000000,0.022953,NaN
9075.000000,11670.000000,5614.000000,0.023364,NaN
9092.000000,11720.000000,5616.000000,0.023661,NaN
9109.000000,11770.000000,5619.000000,0.018285,NaN
9125.000000,11821.000000,5621.000000,0.016340,NaN
9142.000000,11871.000000,5623.000000,0.017154,NaN
9154.000000,11920.000000,5625.000000,0.016578,NaN
9166.000000,11969.000000,5627.000000,0.014929,NaN
9178.000000,12019.000000,5630.000000,0.014801,NaN
9190.000000,12068.000000,5632.000000,0.017616,NaN
9201.000000,12117.000000,5634.000000,0.016198,NaN
9213.000000,12166.000000,5636.000000,0.016467,NaN
9225.000000,12215.000000,5638.000000,0.017230,NaN
9237.000000,12264.000000,5640.000000,0.017224,NaN
9249.000000,12314.000000,5643.000000,0.017944,NaN
9261.000000,12363.000000,5645.000000,0.021478,NaN
9273.000000,12412.000000,5647.000000,0.018561,NaN
9285.000000,12461.000000,5649.000000,0.019466,NaN
9297.000000,12510.000000,5651.000000,0.019142,NaN
9308.000000,12560.000000,5654.000000,0.021254,NaN
9320.000000,12609.000000,5656.000000,0.019838,NaN
9332.000000,12658.000000,5658.000000,0.022223,NaN
9344.000000,12707.000000,5660.000000,0.019908,NaN
9356.000000,12756.000000,5662.000000,0.020824,NaN
9368.000000,12806.000000,5664.000000,0.022956,NaN
9380.000000,12855.000000,5667.000000,0.019957,NaN
9392.000000,12904.000000,5669.000000,0.024301,NaN
9404.000000,12953.000000,5671.000000,0.018590,NaN
9415.000000,13002.000000,5673.000000,0.021393,NaN
9427.000000,13051.000000,5675.000000,0.023015,NaN
9439.000000,13101.000000,5677.000000,0.020180,NaN
9451.000000,13150.000000,5680.000000,0.022583,NaN
9463.000000,13199.000000,5682.000000,0.023894,NaN
9465.000000,13251.000000,5684.000000,0.023791,NaN
9467.000000,13303.000000,5686.000000,0.022688,NaN
9469.000000,13355.000000,5689.000000,0.029801,NaN
9472.000000,13406.000000,5691.000000,0.030423,NaN
9474.000000,13458.000000,5693.000000,0.031890,NaN
9476.000000,13510.000000,5695.000000,0.025376,NaN
9478.000000,13562.000000,5697.000000,0.025509,NaN
9480.000000,13614.000000,5700.000000,0.019465,NaN
9482.000000,13666.000000,5702.000000,0.018422,NaN
9484.000000,13718.000000,5704.000000,0.015682,NaN
9487.000000,13769.000000,5706.000000,0.015221,NaN
9489.000000,13821.000000,5709.000000,0.013947,NaN
9491.000000,13873.000000,5711.000000,0.015108,NaN
9493.000000,13925.000000,5713.000000,0.012544,NaN
9497.000000,13977.000000,5715.000000,0.013167,NaN
9502.000000,14028.000000,5718.000000,0.013690,NaN
9506.000000,14080.000000,5720.000000,0.011098,NaN
9510.000000,14131.000000,5722.000000,0.013198,NaN
9515.000000,14183.000000,5724.000000,0.012972,NaN
9519.000000,14234.000000,5726.000000,0.011381,NaN
9523.000000,14286.000000,5729.000000,0.011617,NaN
9528.000000,14338.000000,5731.000000,0.013121,NaN
9532.000000,14389.000000,5733.000000,0.012571,NaN
9536.000000,14441.000000,5735.000000,0.012718,NaN
9541.000000,14492.000000,5738.000000,0.012485,NaN
9545.000000,14544.000000,5740.000000,0.010789,NaN
9550.000000,14595.000000,5742.000000,0.012452,NaN
9554.000000,14647.000000,5744.000000,0.011961,NaN
9558.000000,14698.000000,5747.000000,0.011917,NaN
9563.000000,14750.000000,5749.000000,0.011456,NaN
9567.000000,14802.000000,5751.000000,0.013130,NaN
9571.000000,14853.000000,5753.000000,0.013518,NaN
9576.000000,14905.000000,5756.000000,0.014166,NaN
9580.000000,14956.000000,5758.000000,0.013803,NaN
9584.000000,15008.000000,5760.000000,0.012036,NaN
9589.000000,15059.000000,5762.000000,0.011630,NaN
9593.000000,15111.000000,5764.000000,0.010873,NaN
9593.000000,15162.000000,5767.000000,0.012993,NaN
9593.000000,15213.000000,5769.000000,0.012349,NaN
9593.000000,15264.000000,5771.000000,0.011519,NaN
9593.000000,15315.000000,5773.000000,0.012030,NaN
9593.000000,15366.000000,5775.000000,0.011466,NaN
9593.000000,15417.000000,5778.000000,0.010684,NaN
9593.000000,15468.000000,5780.000000,0.011113,NaN
9593.000000,15519.000000,5782.000000,0.010138,NaN
9593.000000,15570.000000,5784.000000,0.011524,NaN
9593.000000,15621.000000,5786.000000,0.011458,NaN
9593.000000,15672.000000,5788.000000,0.012592,NaN
9593.000000,15723.000000,5791.000000,0.011028,NaN
9593.000000,15774.000000,5793.000000,0.011011,NaN
9593.000000,15825.000000,5795.000000,0.012174,NaN
9593.000000,15876.000000,5797.000000,0.010953,NaN
9593.000000,15927.000000,5799.000000,0.010450,NaN
9593.000000,15978.000000,5802.000000,0.010800,NaN
9593.000000,16029.000000,5804.000000,0.011152,NaN
9593.000000,16080.000000,5806.000000,0.012642,NaN
9593.000000,16131.000000,5808.000000,0.011091,NaN
9593.000000,16182.000000,5810.000000,0.012077,NaN
9593.000000,16233.000000,5813.000000,0.011282,NaN
9593.000000,16284.000000,5815.000000,0.010285,NaN
9593.000000,16335.000000,5817.000000,0.014169,NaN
9593.000000,16386.000000,5819.000000,0.012227,NaN
9593.000000,16437.000000,5821.000000,0.012725,NaN
9593.000000,16488.000000,5823.000000,0.012513,NaN
9593.000000,16539.000000,5826.000000,0.010284,NaN
9593.000000,16590.000000,5828.000000,0.012128,NaN
9593.000000,16641.000000,5830.000000,0.011936,NaN
9593.000000,16692.000000,5832.000000,0.011266,NaN
9593.000000,16743.000000,5834.000000,0.009950,NaN
9593.000000,16794.000000,5837.000000,0.011519,NaN
9593.000000,16846.000000,5839.000000,0.009406,NaN
9593.000000,16897.000000,5841.000000,0.011696,NaN
9593.000000,16948.000000,5843.000000,0.009145,NaN
9593.000000,16999.000000,5845.000000,0.012956,NaN
9593.000000,17050.000000,5848.000000,0.009404,NaN
9593.000000,17102.000000,5850.000000,0.009837,NaN
9593.000000,17153.000000,5852.000000,0.009105,NaN
9593.000000,17204.000000,5854.000000,0.008672,NaN
9593.000000,17255.000000,5856.000000,0.010338,NaN
9593.000000,17306.000000,5858.000000,0.011331,NaN
9593.000000,17358.000000,5861.000000,0.012802,NaN
9593.000000,17409.000000,5863.000000,0.011641,NaN
9593.000000,17460.000000,5865.000000,0.009802,NaN
9593.000000,17511.000000,5867.000000,0.012408,NaN
9593.000000,17562.000000,5869.000000,0.014076,NaN
9593.000000,17614.000000,5872.000000,0.010720,NaN
9593.000000,17665.000000,5874.000000,0.009744,NaN
9593.000000,17716.000000,5876.000000,0.011229,NaN
9593.000000,17767.000000,5878.000000,0.009763,NaN
9593.000000,17818.000000,5880.000000,0.011498,NaN
9593.000000,17870.000000,5883.000000,0.011043,NaN
9593.000000,17921.000000,5885.000000,0.011961,NaN
9593.000000,17972.000000,5887.000000,0.011387,NaN
9592.000000,18024.000000,5889.000000,0.011285,NaN
9590.000000,18076.000000,5891.000000,0.012284,NaN
9589.000000,18128.000000,5894.000000,0.010663,NaN
9588.000000,18180.000000,5896.000000,0.009932,NaN
9587.000000,18231.000000,5898.000000,0.012009,NaN
9585.000000,18283.000000,5900.000000,0.010673,NaN
9584.000000,18335.000000,5902.000000,0.011889,NaN
9583.000000,18387.000000,5905.000000,0.010823,NaN
9581.000000,18439.000000,5907.000000,0.010930,NaN
9580.000000,18491.000000,5909.000000,0.011481,NaN
9579.000000,18543.000000,5911.000000,0.012413,NaN
9578.000000,18595.000000,5914.000000,0.011887,NaN
9576.000000,18646.000000,5916.000000,0.009907,NaN
9575.000000,18698.000000,5918.000000,0.011335,NaN
9574.000000,18750.000000,5920.000000,0.011126,NaN
9573.000000,18802.000000,5922.000000,0.011881,NaN
9571.000000,18854.000000,5925.000000,0.011189,NaN
