X,Y,Z,MgCa,Err
12087.000000,29137.000000,6759.000000,0.271298,NaN
12073.000000,29031.000000,6757.000000,0.250817,NaN
12058.000000,28924.000000,6754.000000,0.308533,NaN
12044.000000,28818.000000,6752.000000,0.293376,NaN
12011.000000,28707.000000,6749.000000,0.331508,NaN
11977.000000,28595.000000,6746.000000,0.313350,NaN
11944.000000,28484.000000,6743.000000,0.320032,NaN
11910.000000,28375.000000,6739.000000,0.339806,NaN
11876.000000,28267.000000,6736.000000,0.312086,NaN
11842.000000,28158.000000,6733.000000,0.303157,NaN
11807.000000,28049.000000,6730.000000,0.310293,NaN
11773.000000,27941.000000,6726.000000,0.294211,NaN
11739.000000,27832.000000,6723.000000,0.326969,NaN
11714.000000,27716.000000,6720.000000,0.327810,NaN
11689.000000,27599.000000,6717.000000,0.315280,NaN
11664.000000,27482.000000,6714.000000,0.309463,NaN
11639.000000,27366.000000,6712.000000,0.307797,NaN
11606.000000,27269.000000,6709.000000,0.316297,NaN
11572.000000,27171.000000,6705.000000,0.329137,NaN
11539.000000,27074.000000,6702.000000,0.332838,NaN
11483.000000,26970.000000,6698.000000,0.341726,NaN
11428.000000,26866.000000,6694.000000,0.337283,NaN
11372.000000,26762.000000,6690.000000,0.363538,NaN
11318.000000,26664.000000,6686.000000,0.377025,NaN
11264.000000,26566.000000,6682.000000,0.363230,NaN
11210.000000,26468.000000,6678.000000,0.376830,NaN
11156.000000,26370.000000,6674.000000,0.345614,NaN
11102.000000,26272.000000,6670.000000,0.366115,NaN
11048.000000,26174.000000,6666.000000,0.360472,NaN
10994.000000,26076.000000,6662.000000,0.341697,NaN
10931.000000,25986.000000,6658.000000,0.356332,NaN
10868.000000,25897.000000,6654.000000,0.368857,NaN
10804.000000,25808.000000,6649.000000,0.370880,NaN
10741.000000,25718.000000,6645.000000,0.385812,NaN
10687.000000,25631.000000,6641.000000,0.424057,NaN
10633.000000,25544.000000,6638.000000,0.359724,NaN
10579.000000,25457.000000,6634.000000,0.399081,NaN
10525.000000,25370.000000,6630.000000,0.391277,NaN
10472.000000,25283.000000,6626.000000,0.381538,NaN
10418.000000,25196.000000,6622.000000,0.395432,NaN
10364.000000,25109.000000,6619.000000,0.360987,NaN
10310.000000,25022.000000,6615.000000,0.343814,NaN
10256.000000,24935.000000,6611.000000,0.315641,NaN
10196.000000,24847.000000,6607.000000,0.300214,NaN
10137.000000,24760.000000,6603.000000,0.315982,NaN
10078.000000,24672.000000,6599.000000,0.317786,NaN
10018.000000,24584.000000,6595.000000,0.340119,NaN
9958.000000,24496.000000,6590.000000,0.358974,NaN
9899.000000,24408.000000,6586.000000,0.313058,NaN
9840.000000,24321.000000,6582.000000,0.315463,NaN
9780.000000,24233.000000,6578.000000,0.315844,NaN
9730.000000,24145.000000,6575.000000,0.342635,NaN
9681.000000,24056.000000,6571.000000,0.308564,NaN
9631.000000,23968.000000,6567.000000,0.336283,NaN
9582.000000,23879.000000,6564.000000,0.346184,NaN
9532.000000,23791.000000,6560.000000,0.371617,NaN
9483.000000,23702.000000,6557.000000,0.334413,NaN
9433.000000,23614.000000,6553.000000,0.355646,NaN
9359.000000,23544.000000,6548.000000,0.346244,NaN
9285.000000,23473.000000,6544.000000,0.353747,NaN
9211.000000,23403.000000,6539.000000,0.333606,NaN
9126.000000,23315.000000,6534.000000,0.377293,NaN
9042.000000,23226.000000,6529.000000,0.408695,NaN
8957.000000,23138.000000,6524.000000,0.362490,NaN
8881.000000,23053.000000,6519.000000,0.414400,NaN
8806.000000,22968.000000,6514.000000,0.444514,NaN
8730.000000,22883.000000,6509.000000,0.379801,NaN
8654.000000,22798.000000,6505.000000,0.409961,NaN
8589.000000,22722.000000,6500.000000,0.416443,NaN
8524.000000,22645.000000,6496.000000,0.415916,NaN
8459.000000,22568.000000,6492.000000,0.401027,NaN
8394.000000,22492.000000,6488.000000,0.416858,NaN
8329.000000,22415.000000,6484.000000,0.377061,NaN
8264.000000,22339.000000,6480.000000,0.421231,NaN
8210.000000,22246.000000,6476.000000,0.353293,NaN
8155.000000,22154.000000,6472.000000,0.326011,NaN
8101.000000,22061.000000,6468.000000,0.256095,NaN
8046.000000,21968.000000,6464.000000,0.188029,NaN
7992.000000,21875.000000,6460.000000,0.116583,NaN
7937.000000,21783.000000,6456.000000,0.068204,NaN
7883.000000,21690.000000,6452.000000,0.056825,NaN
7829.000000,21575.000000,6448.000000,0.060770,NaN
7775.000000,21461.000000,6444.000000,0.063919,NaN
7721.000000,21346.000000,6440.000000,0.063143,NaN
7670.000000,21258.000000,6436.000000,0.057022,NaN
7618.000000,21170.000000,6432.000000,0.058621,NaN
7566.000000,21082.000000,6428.000000,0.063133,NaN
7515.000000,20995.000000,6425.000000,0.057583,NaN
7464.000000,20907.000000,6421.000000,0.048381,NaN
7412.000000,20819.000000,6417.000000,0.044725,NaN
7360.000000,20726.000000,6413.000000,0.048855,NaN
7307.000000,20633.000000,6410.000000,0.057966,NaN
7203.000000,20448.000000,6402.000000,0.052598,NaN
7150.000000,20355.000000,6398.000000,0.053266,NaN
7098.000000,20262.000000,6394.000000,0.051374,NaN
7024.000000,20171.000000,6390.000000,0.046913,NaN
6950.000000,20080.000000,6385.000000,0.043312,NaN
6877.000000,19989.000000,6380.000000,0.037547,NaN
6803.000000,19898.000000,6375.000000,0.043185,NaN
6763.000000,19795.000000,6372.000000,0.038235,NaN
6723.000000,19692.000000,6368.000000,0.046643,NaN
6684.000000,19590.000000,6365.000000,0.052294,NaN
6644.000000,19487.000000,6362.000000,0.049264,NaN
6604.000000,19384.000000,6358.000000,0.048817,NaN
6564.000000,19281.000000,6355.000000,0.043489,NaN
6505.000000,19193.000000,6351.000000,0.044057,NaN
6446.000000,19104.000000,6347.000000,0.039244,NaN
6386.000000,19016.000000,6343.000000,0.046660,NaN
6327.000000,18927.000000,6339.000000,0.040256,NaN
6268.000000,18839.000000,6335.000000,0.048471,NaN
6212.000000,18746.000000,6331.000000,0.051098,NaN
6157.000000,18652.000000,6327.000000,0.050575,NaN
6101.000000,18559.000000,6323.000000,0.049024,NaN
6045.000000,18465.000000,6319.000000,0.047332,NaN
5989.000000,18372.000000,6315.000000,0.051080,NaN
5934.000000,18278.000000,6311.000000,0.049926,NaN
5878.000000,18185.000000,6307.000000,0.054779,NaN
5834.000000,18090.000000,6303.000000,0.051509,NaN
5790.000000,17994.000000,6300.000000,0.050320,NaN
5746.000000,17899.000000,6296.000000,0.054846,NaN
5702.000000,17803.000000,6293.000000,0.057948,NaN
5657.000000,17708.000000,6289.000000,0.049511,NaN
5613.000000,17612.000000,6286.000000,0.052017,NaN
5569.000000,17517.000000,6282.000000,0.049675,NaN
5525.000000,17421.000000,6279.000000,0.055935,NaN
5481.000000,17326.000000,6275.000000,0.051469,NaN
5447.000000,17224.000000,6272.000000,0.048457,NaN
5413.000000,17122.000000,6269.000000,0.052601,NaN
5380.000000,17020.000000,6266.000000,0.044499,NaN
5346.000000,16918.000000,6263.000000,0.049039,NaN
5312.000000,16816.000000,6260.000000,0.052414,NaN
5278.000000,16714.000000,6257.000000,0.044859,NaN
5244.000000,16612.000000,6254.000000,0.049150,NaN
5210.000000,16510.000000,6250.000000,0.045997,NaN
5177.000000,16408.000000,6247.000000,0.046373,NaN
5143.000000,16306.000000,6244.000000,0.050444,NaN
5109.000000,16204.000000,6241.000000,0.046487,NaN
5073.000000,16101.000000,6238.000000,0.051703,NaN
5037.000000,15998.000000,6235.000000,0.041503,NaN
5001.000000,15895.000000,6232.000000,0.054331,NaN
4965.000000,15792.000000,6228.000000,0.052705,NaN
4929.000000,15689.000000,6225.000000,0.051585,NaN
4893.000000,15586.000000,6222.000000,0.054053,NaN
4857.000000,15483.000000,6219.000000,0.049402,NaN
4821.000000,15380.000000,6215.000000,0.049007,NaN
4785.000000,15277.000000,6212.000000,0.046345,NaN
4749.000000,15174.000000,6209.000000,0.045681,NaN
4722.000000,15068.000000,6206.000000,0.038304,NaN
4694.000000,14963.000000,6203.000000,0.046396,NaN
4667.000000,14857.000000,6200.000000,0.040547,NaN
4640.000000,14752.000000,6198.000000,0.043999,NaN
4612.000000,14646.000000,6195.000000,0.041343,NaN
4585.000000,14541.000000,6192.000000,0.040930,NaN
4558.000000,14435.000000,6189.000000,0.044019,NaN
4530.000000,14330.000000,6186.000000,0.052167,NaN
4503.000000,14224.000000,6183.000000,0.080700,NaN
4445.000000,14120.000000,6179.000000,0.053362,NaN
4387.000000,14015.000000,6175.000000,0.047182,NaN
4328.000000,13911.000000,6170.000000,0.043325,NaN
4270.000000,13806.000000,6166.000000,0.049741,NaN
4212.000000,13702.000000,6162.000000,0.047762,NaN
4182.000000,13601.000000,6159.000000,0.043868,NaN
4152.000000,13500.000000,6156.000000,0.047437,NaN
4122.000000,13400.000000,6153.000000,0.047719,NaN
4092.000000,13299.000000,6150.000000,0.043403,NaN
4063.000000,13198.000000,6147.000000,0.046281,NaN
4033.000000,13098.000000,6145.000000,0.047839,NaN
4003.000000,12997.000000,6142.000000,0.045623,NaN
3973.000000,12896.000000,6139.000000,0.040731,NaN
3943.000000,12795.000000,6136.000000,0.047441,NaN
3913.000000,12694.000000,6133.000000,0.043725,NaN
3883.000000,12594.000000,6130.000000,0.050240,NaN
3854.000000,12493.000000,6127.000000,0.045800,NaN
3824.000000,12392.000000,6124.000000,0.051427,NaN
3794.000000,12292.000000,6121.000000,0.048942,NaN
3764.000000,12191.000000,6118.000000,0.047120,NaN
3734.000000,12090.000000,6115.000000,0.053144,NaN
3705.000000,11989.000000,6113.000000,0.056596,NaN
3675.000000,11889.000000,6110.000000,0.045178,NaN
3646.000000,11788.000000,6107.000000,0.043798,NaN
3617.000000,11687.000000,6104.000000,0.051242,NaN
3588.000000,11587.000000,6101.000000,0.060927,NaN
3558.000000,11486.000000,6098.000000,0.056192,NaN
3529.000000,11385.000000,6095.000000,0.054598,NaN
3500.000000,11285.000000,6093.000000,0.063131,NaN
3471.000000,11184.000000,6090.000000,0.056244,NaN
3441.000000,11083.000000,6087.000000,0.054044,NaN
3412.000000,10983.000000,6084.000000,0.057113,NaN
3383.000000,10882.000000,6081.000000,0.051186,NaN
3354.000000,10781.000000,6078.000000,0.046459,NaN
3324.000000,10681.000000,6075.000000,0.050464,NaN
3295.000000,10580.000000,6072.000000,0.043436,NaN
3283.000000,10479.000000,6070.000000,0.047597,NaN
3271.000000,10378.000000,6068.000000,0.048002,NaN
3259.000000,10278.000000,6066.000000,0.049738,NaN
3247.000000,10177.000000,6064.000000,0.052312,NaN
3235.000000,10076.000000,6062.000000,0.048514,NaN
3223.000000,9975.000000,6060.000000,0.051553,NaN
3211.000000,9875.000000,6058.000000,0.050301,NaN
3199.000000,9774.000000,6056.000000,0.051174,NaN
3188.000000,9673.000000,6054.000000,0.057175,NaN
3176.000000,9572.000000,6052.000000,0.050658,NaN
3164.000000,9472.000000,6050.000000,0.057782,NaN
3152.000000,9371.000000,6048.000000,0.059626,NaN
3140.000000,9270.000000,6045.000000,0.047936,NaN
3128.000000,9169.000000,6043.000000,0.057552,NaN
3116.000000,9069.000000,6041.000000,0.051315,NaN
3104.000000,8968.000000,6039.000000,0.053892,NaN
3092.000000,8867.000000,6037.000000,0.051441,NaN
3092.000000,8759.000000,6036.000000,0.052848,NaN
3092.000000,8651.000000,6034.000000,0.058813,NaN
3092.000000,8543.000000,6032.000000,0.061359,NaN
