y,x,z,mg_ca,st_dev,sample_mode,dist
7077,-3979,8757,0.316747,0.039567,map,NA
7185,-3940,8756,0.206103,0.027367,map,NA
7294,-3902,8755,0.421021,0.025848,map,NA
7402,-3863,8754,0.361078,0.05124,map,NA
7510,-3824,8752,0.373632,0.04984,map,NA
7562,-3730,8750,0.426514,0.052371,map,NA
7613,-3637,8747,0.313635,0.02825,map,NA
7689,-3567,8744,0.269418,0.022917,map,NA
7766,-3498,8742,0.292051,0.022648,map,NA
7842,-3428,8740,0.347784,0.020777,map,NA
7919,-3359,8738,0.473213,0.031204,map,NA
7995,-3289,8736,0.426494,0.03833,map,NA
8072,-3220,8734,0.561936,0.063689,map,NA
8148,-3150,8732,0.833999,0.125133,map,NA
8214,-3037,8728,0.87323,0.078592,map,NA
8280,-2925,8725,1.046972,0.109531,map,NA
8386,-2867,8723,1.169373,0.151609,map,NA
8491,-2809,8721,0.873955,0.133437,map,NA
8597,-2751,8719,0.689349,0.092397,map,NA
8702,-2731,8719,0.275907,0.074671,map,NA
8808,-2711,8718,0.247927,0.034327,map,NA
8913,-2691,8718,0.166532,0.014841,map,NA
9019,-2671,8717,0.171201,0.024198,map,NA
9124,-2651,8717,0.177257,0.033668,map,NA
9216,-2588,8715,0.169296,0.010131,map,NA
9307,-2524,8713,0.161318,0.009805,map,NA
9399,-2461,8711,0.174226,0.020507,map,NA
9490,-2397,8709,0.184821,0.025826000000000002,map,NA
9582,-2334,8707,0.201805,0.017716,map,NA
9673,-2270,8705,0.229822,0.046129,map,NA
9765,-2207,8703,0.179794,0.015973,map,NA
9855,-2153,8702,0.169032,0.011453,map,NA
9945,-2099,8700,0.194552,0.04465,map,NA
10035,-2045,8698,0.182702,0.012705,map,NA
10125,-1991,8697,0.186653,0.010241,map,NA
10215,-1937,8695,0.250314,0.037848,map,NA
10235,-1825,8692,0.264806,0.044898,map,NA
10255,-1713,8688,0.425231,0.131553,map,NA
10275,-1600,8684,0.256824,0.029738,map,NA
10295,-1488,8681,0.350839,0.09124,map,NA
10315,-1376,8677,0.334136,0.125049,map,NA
10428,-1326,8676,0.297083,0.064527,map,NA
10542,-1275,8674,0.352479,0.060912,map,NA
10612,-1188,8672,0.294273,0.018055,map,NA
10682,-1102,8669,0.319779,0.050586,map,NA
10751,-1016,8666,0.343473,0.035189,map,NA
10821,-929,8664,0.347282,0.046965,map,NA
10894,-846,8661,0.342202,0.028675,map,NA
10966,-763,8658,0.376991,0.037136,map,NA
11038,-680,8656,0.398901,0.028934,map,NA
11111,-598,8653,0.525302,0.065458,map,NA
11184,-515,8651,0.466886,0.038056,map,NA
11256,-432,8648,0.29899,0.032527,map,NA
11345,-372,8646,0.269566,0.051735,map,NA
11433,-313,8645,0.307586,0.023711,map,NA
11522,-253,8643,0.365984,0.044164,map,NA
11610,-194,8641,0.384761,0.077432,map,NA
11699,-134,8639,0.323336,0.035751,map,NA
11838,-83,8638,0.359327,0.045186,map,NA
11977,-32,8636,0.432287,0.044748,map,NA
12023,62,8633,0.391266,0.020183,map,NA
12069,157,8630,0.421404,0.048854,map,NA
12115,251,8627,0.39327,0.037217,map,NA
12161,346,8624,0.367685,0.009548,map,NA
12207,440,8621,0.402579,0.030093,map,NA
12253,535,8618,0.40436,0.042148,map,NA
12299,630,8615,0.381298,0.026138,map,NA
12345,724,8612,0.380031,0.029694,map,NA
12391,818,8609,0.362039,0.03249,map,NA
12437,913,8606,0.372728,0.038057,map,NA
12487,1000,8604,0.421765,0.026794,map,NA
12536,1087,8601,0.405955,0.046817,map,NA
12586,1175,8598,0.332221,0.025666,map,NA
12635,1262,8596,0.375438,0.046721,map,NA
12685,1349,8593,0.34976,0.023896,map,NA
12773,1430,8590,0.330988,0.054524,map,NA
12862,1512,8588,0.32115899999999997,0.016814,map,NA
12950,1594,8585,0.330989,0.028242,map,NA
