"","proxy","value","x"
"1","mg_ca",0.24912,13
"2","mg_ca",0.24913,16
"3","mg_ca",0.25527,19
"4","mg_ca",0.25744,30
"5","mg_ca",0.26052,12
"6","mg_ca",0.262,31
"7","mg_ca",0.26808,20
"8","mg_ca",0.27098,11
"9","mg_ca",0.27181,22
"10","mg_ca",0.28092,29
"11","mg_ca",0.28181,21
"12","mg_ca",0.28447,10
"13","mg_ca",0.28608,1
"14","mg_ca",0.3011,32
"15","mg_ca",0.30157,37.5
"16","mg_ca",0.30158,39
"17","mg_ca",0.30736,24
"18","mg_ca",0.30839,23
"19","mg_ca",0.30945,27
"20","mg_ca",0.31023,36
"21","mg_ca",0.31033,33
"22","mg_ca",0.31272,40
"23","mg_ca",0.31503,34.5
"24","mg_ca",0.32054,2
"25","mg_ca",0.3233,25
"26","mg_ca",0.32387,42
"27","mg_ca",0.32932,9
"28","mg_ca",0.33438,5
"29","mg_ca",0.35419,4
"30","mg_ca",0.35789,3
"31","mg_ca",0.3638,7
"32","mg_ca",0.3769,28
"33","mg_ca",0.37967,26
"34","O",-0.15999,4
"35","O",0.28001,6
"36","O",0.44001,7
"37","O",0.45009,43
"38","O",0.48008,42
"39","O",0.52002,8
"40","O",0.58001,3
"41","O",0.58006,28
"42","O",0.68008,41
"43","O",0.75001,5
"44","O",0.83007,34
"45","O",0.90005,26
"46","O",0.91002,9
"47","O",0.92005,27
"48","O",0.96007,35
"49","O",0.98,2
"50","O",1.05005,25
"51","O",1.17007,36
"52","O",1.2,1
"53","O",1.26006,32
"54","O",1.27008,40
"55","O",1.31005,23
"56","O",1.32007,33
"57","O",1.39007,37
"58","O",1.42008,38.5
"59","O",1.45002,10
"60","O",1.48005,24
"61","O",1.63004,21
"62","O",1.64006,29
"63","O",1.67004,22
"64","O",1.68002,11
"65","O",1.76004,20
"66","O",1.85002,12
"67","O",1.89006,31
"68","O",1.94003,17
"69","O",1.95006,30
"70","O",1.97003,14
"71","O",1.97004,19
"72","O",2.02003,13
"73","O",2.04003,15
"74","O",2.05003,16
"75","O",2.15004,18
