y,x,z,mg_ca,st_dev,part,sample_mode,dist
88,-10075,11022,0.677937,0.03241,A,map,NA
168,-10064,11023,0.72204,0.137426,A,map,NA
247,-10053,11024,0.718828,0.035901,A,map,NA
327,-10042,11025,0.587124,0.032254,A,map,NA
407,-10031,11026,0.663017,0.062603,A,map,NA
486,-10019,11027,0.617323,0.051387,A,map,NA
566,-10008,11028,0.316525,0.015987,A,map,NA
646,-9997,11029,0.942369,0.118954,A,map,NA
725,-9986,11030,0.676345,0.034053,A,map,NA
805,-9975,11031,0.542335,0.016071,A,map,NA
880,-9938,11031,0.455629,0.021791,A,map,NA
956,-9901,11031,0.643302,0.068774,A,map,NA
1031,-9864,11031,0.439081,0.039659,A,map,NA
1106,-9828,11031,0.75494000000000006,0.090881,A,map,NA
1182,-9791,11031,0.522607,0.041472,A,map,NA
1257,-9754,11031,0.930311,0.067352,A,map,NA
1314,-9705,11030,0.548915,0.044537,A,map,NA
1371,-9657,11030,0.49097,0.052919,A,map,NA
1429,-9608,11029,0.996164,0.089838,A,map,NA
1486,-9560,11028,0.705445,0.038592,A,map,NA
1543,-9511,11027,0.557105,0.027221,A,map,NA
1600,-9456,11027,0.533618,0.063508,A,map,NA
1656,-9402,11026,1.016027,0.060146,A,map,NA
1713,-9347,11025,0.706031,0.048509,A,map,NA
1769,-9293,11024,0.953572,0.126588,A,map,NA
1826,-9238,11023,0.699253,0.076595,A,map,NA
1904,-9218,11023,0.4381,0.029585,A,map,NA
1981,-9197,11024,0.557765,0.045524,A,map,NA
2059,-9177,11025,0.802629,0.078501,A,map,NA
2136,-9156,11025,0.665034,0.095269,A,map,NA
2214,-9136,11026,0.688893,0.069644,A,map,NA
2295,-9107,11026,0.514818,0.058759,A,map,NA
2377,-9079,11027,0.447582,0.042586,A,map,NA
2458,-9050,11027,0.399812,0.013905,A,map,NA
2539,-9021,11028,0.433986,0.042507,A,map,NA
2621,-8993,11028,0.944231,0.176396,A,map,NA
2702,-8964,11028,0.464828,0.039075,A,map,NA
2766,-8921,11028,0.272727,0.012733,A,map,NA
2830,-8878,11028,0.371865,0.036638,A,map,NA
2894,-8835,11027,0.328712,0.033079,A,map,NA
2957,-8792,11027,0.296535,0.037299,A,map,NA
3021,-8749,11026,0.24176,0.061655,A,map,NA
3085,-8706,11026,0.243578,0.023194,A,map,NA
3149,-8663,11025,0.328224,0.038089,A,map,NA
3213,-8620,11025,0.278139,0.045005,A,map,NA
3277,-8577,11025,0.231426,0.020171,A,map,NA
3340,-8534,11024,0.267941,0.0312,A,map,NA
3404,-8491,11024,0.292373,0.027962,A,map,NA
3468,-8448,11023,0.329221,0.038137,A,map,NA
3532,-8405,11023,0.328756,0.00931,A,map,NA
3605,-8384,11023,0.401089,0.037107,A,map,NA
3678,-8363,11024,0.438958,0.150628,A,map,NA
3750,-8342,11025,0.465765,0.129387,A,map,NA
3823,-8321,11025,0.645324,0.18146,A,map,NA
3896,-8300,11026,0.495871,0.114768,A,map,NA
3968,-8278,11026,0.604076,0.103277,A,map,NA
4041,-8257,11027,0.501164,0.054922,A,map,NA
4114,-8236,11027,0.588028,0.08471,A,map,NA
