y,x,z,mg_ca,st_dev,dist,sample_mode
4661,32240,8363,0.382409,0.041315,NA,map
4806,32340,8360,0.389066,0.024288,NA,map
4912,32340,8357,0.485915,0.079196,NA,map
5019,32340,8354,0.487616,0.030646,NA,map
5125,32340,8351,0.634478,0.057982,NA,map
5231,32340,8349,0.294365,0.062972,NA,map
5338,32340,8346,0.319862,0.044823,NA,map
5444,32340,8343,0.415043,0.038196,NA,map
5562,32320,8340,0.298236,0.032918,NA,map
5680,32300,8337,0.3104,0.029578,NA,map
5798,32280,8334,0.364746,0.029107,NA,map
5916,32260,8331,0.515617,0.074841,NA,map
6034,32240,8327,0.722879,0.333491,NA,map
6134,32190,8325,0.613787,0.096084,NA,map
6234,32140,8322,0.710563,0.055081,NA,map
6334,32090,8319,0.411559,0.047102,NA,map
6434,32040,8316,0.596253,0.141182,NA,map
6540,32000,8314,0.587306,0.102088,NA,map
6646,31960,8311,0.662225,0.09786,NA,map
6752,31920,8308,0.879995,0.135041,NA,map
6858,31881,8305,1.124048,0.184555,NA,map
6964,31841,8302,1.183858,0.410076,NA,map
7070,31801,8299,0.852758,0.37137,NA,map
7161,31752,8297,1.045454,0.3533,NA,map
7252,31703,8294,1.195507,0.268611,NA,map
7343,31654,8291,1.231079,0.379735,NA,map
7434,31605,8289,1.244326,0.509563,NA,map
7525,31556,8286,0.822506,0.045341,NA,map
7616,31507,8284,0.981231,0.075783,NA,map
7707,31458,8281,0.827367,0.077752,NA,map
7798,31409,8279,0.764938,0.101765,NA,map
7889,31360,8276,0.834735,0.09042,NA,map
7978,31303,8274,1.106944,0.280353,NA,map
8068,31246,8271,1.230023,0.09689,NA,map
8157,31190,8269,1.07798,0.285025,NA,map
8246,31133,8266,1.07508,0.056442,NA,map
8336,31076,8264,1.007645,0.033283,NA,map
8425,31019,8261,1.182994,0.260376,NA,map
8514,30963,8259,1.086552,0.668583,NA,map
8604,30906,8256,1.123141,0.479861,NA,map
8693,30849,8254,1.254669,0.16366,NA,map
8803,30820,8251,0.985548,0.238338,NA,map
8913,30792,8248,0.707593,0.10465,NA,map
9023,30763,8245,1.855458,1.131013,NA,map
9133,30735,8242,1.078322,0.19726,NA,map
9243,30706,8239,1.142736,0.7379,NA,map
9353,30678,8236,1.572892,0.824371,NA,map
9463,30649,8233,1.140147,0.432665,NA,map
9554,30599,8230,1.125083,0.480094,NA,map
9645,30549,8228,1.201659,0.399977,NA,map
9736,30499,8225,1.025191,0.190947,NA,map
9827,30449,8223,0.578787,0.051311,NA,map
9920,30394,8220,0.677359,0.092891,NA,map
10014,30339,8218,1.036493,0.171019,NA,map
10107,30284,8215,0.910511,0.050138,NA,map
10200,30230,8212,0.699799,0.160712,NA,map
10294,30175,8210,0.653217,0.078389,NA,map
10387,30120,8207,0.677443,0.044558,NA,map
10481,30065,8205,0.629648,0.030404,NA,map
10574,30010,8202,0.55609,0.103636,NA,map
10675,29977,8199,0.48704,0.142092,NA,map
10776,29943,8197,0.492242,0.068366,NA,map
10876,29910,8194,0.636696,0.099966,NA,map
10977,29877,8191,0.579746,0.052294,NA,map
11078,29843,8188,1.047566,0.565569,NA,map
11179,29810,8186,1.299701,0.475815,NA,map
11269,29752,8183,1.042034,0.239368,NA,map
11359,29694,8181,1.222324,0.488294,NA,map
11449,29635,8178,1.060769,0.139377,NA,map
11539,29577,8175,1.15579,0.155782,NA,map
11629,29519,8173,1.094444,0.348511,NA,map
11720,29460,8170,0.935936,0.538057,NA,map
11810,29402,8168,1.998413,0.878167,NA,map
11900,29344,8165,1.274048,0.434744,NA,map
11990,29286,8163,1.303535,0.128941,NA,map
12080,29228,8160,1.11054,0.564906,NA,map
12170,29169,8158,0.808061,0.156834,NA,map
12260,29111,8155,0.568968,0.08107,NA,map
12358,29059,8152,0.733113,0.315717,NA,map
12455,29007,8150,0.505264,0.021451,NA,map
12553,28955,8147,0.530552,0.09662,NA,map
12651,28902,8144,0.567643,0.055536,NA,map
12748,28850,8142,0.413507,0.070252,NA,map
12846,28798,8139,0.460097,0.098552,NA,map
12943,28746,8136,0.415714,0.063071,NA,map
13041,28694,8133,0.768429,0.10272,NA,map
13091,28594,8132,0.56261,0.056858,NA,map
13141,28494,8130,0.479196,0.060858,NA,map
13191,28394,8129,0.813484,0.281836,NA,map
13241,28294,8127,0.461018,0.077678,NA,map
13331,28236,8124,0.477509,0.057535,NA,map
13420,28178,8122,0.603436,0.119234,NA,map
13510,28120,8119,0.597352,0.155029,NA,map
13600,28062,8117,0.421597,0.058454,NA,map
13690,28004,8114,0.354223,0.057151,NA,map
13779,27946,8112,0.357823,0.024444,NA,map
13869,27888,8109,0.466567,0.056198,NA,map
13942,27817,8107,0.54397,0.044331,NA,map
14014,27747,8105,0.524935,0.152799,NA,map
14086,27676,8103,0.519295,0.085079,NA,map
14159,27605,8101,0.479524,0.081454,NA,map
14232,27535,8099,0.496098,0.117271,NA,map
14304,27464,8097,0.49435,0.038396,NA,map
14361,27368,8095,0.728535,0.157816,NA,map
14418,27271,8093,0.583454,0.124074,NA,map
14475,27175,8091,0.840788,0.370158,NA,map
14533,27079,8089,1.262185,0.433869,NA,map
14590,26983,8087,1.304153,0.329484,NA,map
14647,26886,8086,1.154974,0.188503,NA,map
14704,26790,8084,0.84588700000000006,0.16899,NA,map
14783,26716,8082,0.926196,0.334098,NA,map
14861,26641,8079,1.09697,0.25208,NA,map
14940,26566,8077,1.295303,0.581222,NA,map
15019,26492,8075,1.121616,0.259038,NA,map
15097,26418,8072,0.977464,0.499422,NA,map
15176,26343,8070,1.066071,0.424628,NA,map
15236,26263,8068,1.035815,0.276007,NA,map
15296,26183,8066,0.999956,0.415534,NA,map
15355,26102,8065,0.337131,0.112166,NA,map
15415,26022,8063,0.262439,0.069917000000000007,NA,map
15475,25942,8061,0.227565,0.05587,NA,map
15525,25838,8059,0.1472,0.050017,NA,map
15575,25735,8058,0.474746,0.110866,NA,map
15625,25632,8056,0.460623,0.295119,NA,map
15675,25528,8054,0.594714,0.17594,NA,map
15739,25439,8052,0.354069,0.066415,NA,map
15803,25350,8051,0.286636,0.073371,NA,map
15867,25261,8049,0.433795,0.137708,NA,map
15931,25172,8047,0.385412,0.113659,NA,map
15995,25084,8045,0.458711,0.154387,NA,map
16059,24995,8043,0.410926,0.162343,NA,map
16123,24906,8041,0.167497,0.080867,NA,map
16187,24817,8039,0.218314,0.051536,NA,map
16251,24728,8037,0.124175,0.023935,NA,map
16315,24639,8035,0.113066,0.024905,NA,map
16399,24580,8032,0.194806,0.035078,NA,map
16482,24521,8030,0.197589,0.080655,NA,map
16566,24462,8028,0.142057,0.048085,NA,map
16650,24404,8025,0.163396,0.047644,NA,map
16734,24345,8023,0.147994,0.023154,NA,map
16817,24286,8021,0.299158,0.032364,NA,map
16901,24227,8018,0.198195,0.015569,NA,map
16998,24187,8016,0.264642,0.096264,NA,map
17096,24147,8013,0.203517,0.045047,NA,map
17193,24107,8010,0.246484,0.021246,NA,map
17291,24067,8008,0.574742,0.168949,NA,map
17388,24027,8005,1.130238,0.391677,NA,map
17445,23932,8003,1.137752,0.381406,NA,map
17501,23836,8001,0.736116,0.183403,NA,map
17558,23741,8000,0.413564,0.119625,NA,map
17614,23646,7998,0.394398,0.057801,NA,map
17671,23550,7996,0.288173,0.046601,NA,map
17727,23455,7994,0.267219,0.051111,NA,map
17784,23360,7992,0.376354,0.092432,NA,map
17840,23264,7991,1.172982,0.692526,NA,map
17897,23169,7989,1.102094,0.312909,NA,map
17930,23066,7988,0.791061,0.337524,NA,map
17964,22963,7986,1.260317,0.452838,NA,map
17997,22860,7985,1.455571,0.450289,NA,map
18030,22758,7984,1.431775,0.817149,NA,map
18064,22655,7983,1.195631,0.362588,NA,map
18097,22552,7982,0.707945,0.225352,NA,map
18163,22476,7980,0.790802,0.430382,NA,map
18229,22400,7978,0.709046,0.285709,NA,map
18295,22324,7976,0.890889,0.29586,NA,map
18361,22248,7974,0.881136,0.418732,NA,map
18427,22171,7972,0.700833,0.220723,NA,map
18493,22095,7970,0.987532,0.084911,NA,map
18559,22019,7968,1.075874,0.417081,NA,map
18625,21943,7966,1.100455,0.325787,NA,map
18671,21843,7964,1.249444,0.406403,NA,map
18718,21744,7963,0.802216,0.431345,NA,map
18764,21644,7961,0.28007,0.0974,NA,map
18811,21545,7960,0.235562,0.091629,NA,map
18857,21445,7958,0.166981,0.02234,NA,map
18904,21346,7957,0.214363,0.078643,NA,map
18950,21246,7955,0.157708,0.027549,NA,map
18971,21140,7954,0.131324,0.036672,NA,map
18992,21033,7953,0.157663,0.073889,NA,map
19013,20927,7952,0.114106,0.032187,NA,map
19034,20820,7951,0.142967,0.052333,NA,map
19055,20714,7951,0.20173,0.042363,NA,map
19055,20601,7950,0.197744,0.049288,NA,map
19055,20488,7950,0.352346,0.028424,NA,map
19055,20375,7949,0.435139,0.050071,NA,map
19055,20262,7949,0.861576,0.400454,NA,map
19055,20149,7949,0.673735,0.244466,NA,map
19055,20036,7948,1.322879,0.337096,NA,map
19055,19923,7948,1.073902,0.359467,NA,map
19015,19819,7949,0.611609,0.179141,NA,map
18975,19716,7949,0.524235,0.118337,NA,map
18935,19612,7950,0.333302,0.033233,NA,map
18895,19509,7951,0.338311,0.105273,NA,map
18855,19405,7951,0.15529,0.023588,NA,map
18855,19295,7951,0.289664,0.133952,NA,map
18855,19185,7951,0.298669,0.185919,NA,map
18855,19075,7950,0.126681,0.027028,NA,map
18855,18966,7950,0.098157,0.033046,NA,map
18855,18856,7950,0.091141,0.02045,NA,map
18855,18746,7949,0.150203,0.03065,NA,map
18855,18636,7949,0.297152,0.067792,NA,map
18855,18526,7948,0.843439,0.359073,NA,map
18821,18426,7949,1.17906,0.741071,NA,map
18787,18326,7950,0.928178,0.383491,NA,map
18753,18226,7950,0.922691,0.311105,NA,map
18719,18125,7951,0.383226,0.050769,NA,map
18685,18025,7951,0.415511,0.064114,NA,map
18651,17925,7952,0.23791,0.062257,NA,map
18634,17820,7952,0.203118,0.039489,NA,map
18618,17714,7952,0.212524,0.029941,NA,map
18601,17609,7952,1.011136,0.411325,NA,map
18584,17503,7952,0.843217,0.453784,NA,map
18567,17398,7952,1.240251,0.215725,NA,map
18550,17292,7952,0.583876,0.373925,NA,map
18534,17187,7952,0.179642,0.01521,NA,map
18517,17082,7952,0.211105,0.023581,NA,map
18500,16976,7953,0.2215,0.053439,NA,map
18484,16871,7953,0.287381,0.058655,NA,map
18467,16765,7953,0.368565,0.0608,NA,map
18450,16660,7953,0.185541,0.029806,NA,map
18441,16559,7953,0.156086,0.033418,NA,map
18432,16458,7953,0.188774,0.074807,NA,map
18423,16357,7952,0.234391,0.071291,NA,map
18414,16255,7952,0.175523,0.067976,NA,map
18405,16154,7952,0.284275,0.017235,NA,map
18395,16053,7952,0.289196,0.091759,NA,map
18386,15952,7952,0.281409,0.040874,NA,map
18377,15851,7952,0.377019,0.087274,NA,map
18368,15750,7952,0.215713,0.035696,NA,map
18359,15649,7952,0.283238,0.051377,NA,map
18350,15548,7952,0.223659,0.029834,NA,map
18341,15446,7952,0.209347,0.031638,NA,map
18332,15345,7951,0.259313,0.037702,NA,map
18323,15244,7951,0.234387,0.027673,NA,map
18314,15143,7951,0.32718,0.094289,NA,map
18305,15042,7951,0.361466,0.081782,NA,map
18295,14941,7951,0.248472,0.039576,NA,map
18286,14840,7951,0.270818,0.052436,NA,map
18277,14738,7951,0.440878,0.136317,NA,map
18268,14637,7951,0.293797,0.050709,NA,map
18259,14536,7951,0.275916,0.022447,NA,map
18250,14435,7951,0.249511,0.017971,NA,map
18200,14322,7952,0.251635,0.073085,NA,map
18150,14208,7952,0.210043,0.047167,NA,map
18100,14095,7953,0.165314,0.045153,NA,map
18050,13982,7954,0.257404,0.07556,NA,map
18024,13880,7955,0.15763,0.037339,NA,map
17999,13777,7955,0.197013,0.043177,NA,map
17973,13675,7955,0.188034,0.020543,NA,map
17948,13572,7956,0.231532,0.046361,NA,map
17922,13470,7956,0.197301,0.042814,NA,map
17897,13367,7956,0.19186,0.033497,NA,map
17871,13265,7957,0.253758,0.028073,NA,map
17846,13162,7957,0.213585,0.019954,NA,map
17820,13060,7957,0.232882,0.046847,NA,map
17795,12957,7957,0.248344,0.049965,NA,map
17769,12855,7958,0.224628,0.035774,NA,map
17744,12752,7958,0.212256,0.020505,NA,map
17718,12650,7958,0.253063,0.029001,NA,map
17685,12550,7959,0.218906,0.062532,NA,map
17651,12450,7960,0.18495,0.016367,NA,map
17618,12350,7960,0.339119,0.052368,NA,map
17585,12251,7961,0.177676,0.099301,NA,map
17551,12151,7961,0.210781,0.048994,NA,map
17518,12051,7962,0.22554,0.130389,NA,map
17483,11955,7962,0.257014,0.050117,NA,map
17448,11859,7963,0.504236,0.099523,NA,map
17413,11764,7963,0.737035,0.258349,NA,map
17377,11668,7964,0.764024,0.315831,NA,map
17342,11572,7965,0.805314,0.197364,NA,map
17307,11476,7965,0.748524,0.569967,NA,map
17272,11381,7966,0.570002,0.318153,NA,map
17237,11285,7966,0.823225,0.372646,NA,map
17202,11189,7967,0.82835,0.309932,NA,map
17166,11093,7968,0.741504,0.214747,NA,map
17131,10998,7968,0.894623,0.47953,NA,map
17096,10902,7969,0.178274,0.021275,NA,map
17061,10806,7969,0.367136,0.15869,NA,map
17033,10703,7970,0.312262,0.086836,NA,map
17005,10600,7970,0.421894,0.145648,NA,map
16977,10497,7971,0.365344,0.068146,NA,map
16949,10394,7971,0.284319,0.082558,NA,map
16921,10291,7971,0.321084,0.040736,NA,map
16893,10188,7972,0.514612,0.043343,NA,map
16866,10084,7972,0.382155,0.086421,NA,map
16838,9981,7972,0.43008,0.128531,NA,map
16810,9878,7973,0.350865,0.065079,NA,map
16782,9775,7973,0.398087,0.130839,NA,map
16754,9672,7974,0.241214,0.038908,NA,map
16726,9569,7974,0.28514,0.111029,NA,map
16698,9466,7974,0.329112,0.034285,NA,map
16670,9363,7975,0.337616,0.057231,NA,map
16625,9266,7976,0.277863,0.035553,NA,map
16579,9168,7977,0.372187,0.046438,NA,map
16534,9071,7977,0.366433,0.051135,NA,map
16488,8974,7978,0.540871,0.130574,NA,map
16443,8877,7979,0.335038,0.0589,NA,map
16397,8779,7980,0.436814,0.119575,NA,map
16352,8682,7981,0.39963,0.066093,NA,map
16306,8585,7982,0.363082,0.037505,NA,map
