x,y,z,mg_ca,sample_mode,dist,st_dev
14706,2839,8914,0.381695,map,NA,NA
14675,2880,8914,0.3673,map,NA,NA
14643,2922,8914,0.397345,map,NA,NA
14612,2963,8914,0.38444,map,NA,NA
14581,3005,8913,0.348379,map,NA,NA
14549,3046,8913,0.413543,map,NA,NA
14518,3087,8913,0.422341,map,NA,NA
14487,3129,8913,0.425183,map,NA,NA
14456,3170,8912,0.41884,map,NA,NA
14424,3211,8912,0.410218,map,NA,NA
14393,3253,8912,0.392224,map,NA,NA
14362,3294,8912,0.442826,map,NA,NA
14330,3336,8911,0.394751,map,NA,NA
14299,3377,8911,0.38291,map,NA,NA
14266,3418,8911,0.361804,map,NA,NA
14234,3460,8910,0.366822,map,NA,NA
14201,3501,8910,0.345131,map,NA,NA
14168,3542,8910,0.268182,map,NA,NA
14136,3583,8909,0.230319,map,NA,NA
14103,3625,8909,0.217202,map,NA,NA
14071,3666,8909,0.192511,map,NA,NA
14038,3707,8908,0.199236,map,NA,NA
14005,3748,8908,0.195273,map,NA,NA
13973,3790,8908,0.187933,map,NA,NA
13940,3831,8907,0.196822,map,NA,NA
13906,3871,8907,0.190543,map,NA,NA
13872,3911,8906,0.189681,map,NA,NA
13838,3950,8905,0.181398,map,NA,NA
13804,3990,8905,0.197157,map,NA,NA
13770,4030,8904,0.194708,map,NA,NA
13737,4070,8904,0.205295,map,NA,NA
13703,4110,8903,0.201431,map,NA,NA
13669,4150,8903,0.208448,map,NA,NA
13635,4189,8902,0.221084,map,NA,NA
13601,4229,8902,0.179785,map,NA,NA
13567,4269,8901,0.206519,map,NA,NA
13542,4318,8902,0.223159,map,NA,NA
13517,4366,8902,0.219768,map,NA,NA
13492,4414,8903,0.271677,map,NA,NA
13467,4463,8904,0.299447,map,NA,NA
13442,4512,8904,0.28773,map,NA,NA
13417,4560,8905,0.313767,map,NA,NA
13392,4608,8905,0.263718,map,NA,NA
13367,4657,8906,0.25828,map,NA,NA
13342,4710,8907,0.243846,map,NA,NA
13317,4762,8907,0.273898,map,NA,NA
13292,4814,8908,0.2331,map,NA,NA
13267,4867,8909,0.2171,map,NA,NA
13254,4922,8911,0.240462,map,NA,NA
13242,4976,8912,0.200651,map,NA,NA
13230,5031,8914,0.211692,map,NA,NA
13217,5086,8916,0.213166,map,NA,NA
13204,5140,8918,0.243158,map,NA,NA
13192,5195,8919,0.196702,map,NA,NA
13180,5249,8921,0.22985,map,NA,NA
13167,5304,8923,0.208406,map,NA,NA
13167,5356,8926,0.20963,map,NA,NA
13167,5408,8928,0.207833,map,NA,NA
13167,5460,8931,0.21561,map,NA,NA
13167,5512,8933,0.210822,map,NA,NA
13167,5565,8936,0.21723,map,NA,NA
13167,5617,8938,0.221435,map,NA,NA
13167,5669,8941,0.228677,map,NA,NA
13167,5721,8943,0.225243,map,NA,NA
13170,5773,8946,0.219905,map,NA,NA
13172,5824,8949,0.230879,map,NA,NA
13175,5876,8952,0.230207,map,NA,NA
13178,5928,8954,0.216675,map,NA,NA
13181,5979,8957,0.224171,map,NA,NA
13183,6031,8960,0.213229,map,NA,NA
13186,6083,8963,0.265268,map,NA,NA
13189,6134,8965,0.229897,map,NA,NA
13191,6186,8968,0.250458,map,NA,NA
13194,6238,8971,0.234719,map,NA,NA
13197,6289,8974,0.23629,map,NA,NA
13200,6341,8976,0.19125,map,NA,NA
13202,6393,8979,0.26192,map,NA,NA
13205,6444,8982,0.225732,map,NA,NA
13208,6496,8985,0.212744,map,NA,NA
13210,6548,8987,0.19391,map,NA,NA
13213,6599,8990,0.209288,map,NA,NA
13216,6651,8993,0.21111,map,NA,NA
13219,6703,8996,0.173363,map,NA,NA
13221,6754,8998,0.201881,map,NA,NA
13224,6806,9001,0.21866,map,NA,NA
13224,6856,9004,0.17923,map,NA,NA
13224,6907,9006,0.197448,map,NA,NA
13224,6957,9008,0.16287,map,NA,NA
13224,7007,9011,0.137081,map,NA,NA
13224,7057,9013,0.179895,map,NA,NA
13224,7108,9016,0.128272,map,NA,NA
13224,7158,9018,0.117279,map,NA,NA
13224,7208,9021,0.093358,map,NA,NA
13224,7259,9023,0.074136,map,NA,NA
13224,7309,9026,0.063598,map,NA,NA
13224,7359,9028,0.037404,map,NA,NA
13224,7410,9031,0.044437,map,NA,NA
13224,7460,9033,0.039521,map,NA,NA
13224,7510,9036,0.044532,map,NA,NA
13224,7560,9038,0.035798,map,NA,NA
13224,7611,9041,0.046291,map,NA,NA
13224,7661,9043,0.042675,map,NA,NA
13224,7711,9046,0.049541,map,NA,NA
13224,7762,9048,0.039506,map,NA,NA
13224,7812,9051,0.048225,map,NA,NA
13224,7862,9053,0.053835,map,NA,NA
13224,7913,9056,0.048829,map,NA,NA
13224,7963,9058,0.048587,map,NA,NA
13224,8013,9060,0.045402,map,NA,NA
13224,8063,9063,0.04503,map,NA,NA
13224,8114,9065,0.046758,map,NA,NA
13224,8164,9068,0.046546,map,NA,NA
13224,8214,9070,0.043692,map,NA,NA
13224,8265,9073,0.037048,map,NA,NA
13224,8315,9075,0.063605,map,NA,NA
13224,8365,9078,0.051802,map,NA,NA
13224,8416,9080,0.050145,map,NA,NA
13224,8466,9083,0.048158,map,NA,NA
13224,8516,9085,0.043549,map,NA,NA
13224,8566,9088,0.055906,map,NA,NA
13224,8617,9090,0.04703,map,NA,NA
13224,8667,9093,0.051149,map,NA,NA
13217,8717,9095,0.053193,map,NA,NA
13210,8768,9097,0.047589,map,NA,NA
13203,8818,9098,0.046584,map,NA,NA
13196,8869,9100,0.0628,map,NA,NA
13189,8919,9102,0.048521,map,NA,NA
13182,8969,9104,0.039235,map,NA,NA
13175,9020,9106,0.050835,map,NA,NA
13169,9070,9108,0.03862,map,NA,NA
13162,9120,9110,0.03903,map,NA,NA
13155,9171,9112,0.046752,map,NA,NA
13148,9221,9114,0.038892,map,NA,NA
13141,9272,9116,0.041964,map,NA,NA
13134,9322,9118,0.044527,map,NA,NA
13127,9372,9120,0.039866,map,NA,NA
13120,9423,9122,0.042688,map,NA,NA
13113,9473,9124,0.045043,map,NA,NA
13106,9523,9126,0.046175,map,NA,NA
13099,9574,9128,0.052916,map,NA,NA
13092,9624,9130,0.048827,map,NA,NA
13085,9675,9132,0.045082,map,NA,NA
13078,9725,9134,0.038841,map,NA,NA
13072,9775,9136,0.047604,map,NA,NA
13065,9826,9138,0.0431,map,NA,NA
13058,9876,9140,0.031843,map,NA,NA
13051,9926,9142,0.040572,map,NA,NA
13044,9977,9144,0.044362,map,NA,NA
13037,10027,9146,0.040986,map,NA,NA
13030,10078,9148,0.043958,map,NA,NA
13023,10128,9150,0.056522,map,NA,NA
13014,10179,9152,0.035492,map,NA,NA
13006,10229,9153,0.041816,map,NA,NA
12997,10280,9155,0.043256,map,NA,NA
12988,10331,9157,0.041751,map,NA,NA
12980,10382,9159,0.047903,map,NA,NA
12971,10432,9161,0.033549,map,NA,NA
12962,10483,9163,0.036312,map,NA,NA
12954,10534,9165,0.047055,map,NA,NA
12945,10585,9167,0.03233,map,NA,NA
12937,10635,9168,0.044424,map,NA,NA
12928,10686,9170,0.036925,map,NA,NA
12919,10737,9172,0.035013,map,NA,NA
12911,10788,9174,0.046182,map,NA,NA
12902,10838,9176,0.038641,map,NA,NA
12893,10889,9178,0.035819,map,NA,NA
12885,10940,9180,0.041977,map,NA,NA
12876,10991,9181,0.041176,map,NA,NA
12867,11041,9183,0.041268,map,NA,NA
12859,11092,9185,0.03481,map,NA,NA
12850,11143,9187,0.043185,map,NA,NA
12841,11194,9189,0.043511,map,NA,NA
12833,11244,9191,0.038932,map,NA,NA
12824,11295,9193,0.038463,map,NA,NA
12816,11346,9195,0.042961,map,NA,NA
12807,11397,9196,0.042838,map,NA,NA
12798,11447,9198,0.043012,map,NA,NA
12790,11498,9200,0.040363,map,NA,NA
12781,11549,9202,0.042108,map,NA,NA
12772,11600,9204,0.044022,map,NA,NA
12764,11650,9206,0.050046,map,NA,NA
12755,11701,9208,0.035995,map,NA,NA
12807,11701,9211,0.039865,map,NA,NA
12859,11701,9215,0.047527,map,NA,NA
12912,11701,9219,0.03266,map,NA,NA
12964,11701,9223,0.045551,map,NA,NA
13016,11701,9227,0.043194,map,NA,NA
13068,11701,9230,0.060041,map,NA,NA
13120,11701,9234,0.042086,map,NA,NA
13173,11701,9238,0.045676,map,NA,NA
13225,11701,9242,0.040095,map,NA,NA
13277,11701,9246,0.043888,map,NA,NA
13329,11701,9250,0.053852,map,NA,NA
13381,11701,9253,0.046994,map,NA,NA
13434,11701,9257,0.055932,map,NA,NA
13486,11701,9261,0.06512,map,NA,NA
13538,11701,9265,0.056754,map,NA,NA
13590,11701,9269,0.041092,map,NA,NA
13642,11701,9273,0.047368,map,NA,NA
13695,11701,9276,0.057834000000000003,map,NA,NA
13747,11701,9280,0.056334,map,NA,NA
13799,11701,9284,0.160042,map,NA,NA
13864,11701,9289,0.235489,map,NA,NA
13929,11701,9294,0.246319,map,NA,NA
13956,11659,9293,0.23694,map,NA,NA
13982,11616,9293,0.266977,map,NA,NA
14009,11574,9293,0.325333,map,NA,NA
14036,11532,9293,0.294154,map,NA,NA
14062,11489,9293,0.296776,map,NA,NA
14089,11447,9293,0.290672,map,NA,NA
14116,11405,9293,0.310588,map,NA,NA
14143,11363,9293,0.277402,map,NA,NA
14169,11320,9292,0.318695,map,NA,NA
14196,11278,9292,0.30058,map,NA,NA
14223,11236,9292,0.261697,map,NA,NA
14249,11193,9292,0.254789,map,NA,NA
14276,11151,9292,0.284888,map,NA,NA
14302,11107,9292,0.222162,map,NA,NA
14327,11062,9291,0.243899,map,NA,NA
14352,11018,9291,0.234202,map,NA,NA
14378,10973,9291,0.235394,map,NA,NA
14404,10929,9290,0.22718,map,NA,NA
14429,10884,9290,0.222499,map,NA,NA
14454,10840,9290,0.229125,map,NA,NA
14480,10796,9289,0.226614,map,NA,NA
14506,10751,9289,0.233014,map,NA,NA
14531,10707,9289,0.219683,map,NA,NA
14556,10662,9288,0.212447,map,NA,NA
14582,10618,9288,0.223537,map,NA,NA
14597,10568,9287,0.223569,map,NA,NA
14612,10518,9285,0.217534,map,NA,NA
14627,10468,9284,0.193524,map,NA,NA
14641,10417,9282,0.206432,map,NA,NA
14656,10367,9281,0.215464,map,NA,NA
14671,10317,9280,0.184929,map,NA,NA
14686,10267,9278,0.17978,map,NA,NA
14719,10222,9279,0.201285,map,NA,NA
14751,10178,9279,0.227425,map,NA,NA
14784,10133,9279,0.273523,map,NA,NA
14816,10089,9279,0.260153,map,NA,NA
14849,10044,9279,0.247099,map,NA,NA
14882,9994,9279,0.283368,map,NA,NA
14916,9944,9279,0.276174,map,NA,NA
14949,9894,9279,0.192748,map,NA,NA
14998,9874,9282,0.197689,map,NA,NA
15047,9854,9285,0.214096,map,NA,NA
15096,9834,9287,0.219727,map,NA,NA
15145,9814,9290,0.259988,map,NA,NA
15194,9794,9292,0.255493,map,NA,NA
15214,9743,9291,0.250735,map,NA,NA
15234,9691,9290,0.305334,map,NA,NA
15254,9640,9289,0.236122,map,NA,NA
15274,9588,9288,0.357139,map,NA,NA
15294,9537,9287,0.310058,map,NA,NA
15267,9491,9283,0.398474,map,NA,NA
15239,9445,9278,0.408245,map,NA,NA
15212,9399,9274,0.270379,map,NA,NA
15184,9353,9270,0.290427,map,NA,NA
15157,9306,9266,0.296739,map,NA,NA
15129,9260,9261,0.312734,map,NA,NA
15102,9214,9257,0.248096,map,NA,NA
15074,9168,9253,0.228316,map,NA,NA
15047,9122,9249,0.200916,map,NA,NA
15026,9061,9244,0.21035,map,NA,NA
15004,8999,9239,0.197249,map,NA,NA
14983,8938,9235,0.21134,map,NA,NA
14996,8887,9233,0.261463,map,NA,NA
15008,8836,9232,0.221686,map,NA,NA
15020,8785,9230,0.247935,map,NA,NA
15033,8734,9228,0.236125,map,NA,NA
15046,8684,9227,0.230679,map,NA,NA
15058,8633,9225,0.16584,map,NA,NA
15070,8582,9224,0.213606,map,NA,NA
15083,8531,9222,0.189452,map,NA,NA
15094,8482,9220,0.233395,map,NA,NA
15105,8432,9219,0.209302,map,NA,NA
15116,8383,9217,0.259878,map,NA,NA
15127,8334,9216,0.234975,map,NA,NA
15139,8284,9214,0.316361,map,NA,NA
15150,8235,9212,0.260809,map,NA,NA
15161,8186,9211,0.29638,map,NA,NA
15172,8136,9209,0.274925,map,NA,NA
15183,8087,9208,0.321008,map,NA,NA
